LSOA11CD,total_population,imd_score,imd_decile,income_score,health_score,crime_score
E01001681,1345,18.3,5,0.113,-0.14,0.596
E01001682,1412,18.224,5,0.104,0.046,0.517
E01001683,1597,22.811,4,0.157,0.168,0.037
E01001684,1426,24.72,4,0.168,-0.194,0.667
E01001685,1605,17.339,6,0.125,-0.338,0.274
E01001686,1802,20.534,5,0.169,-0.132,0.035
E01001687,1287,35.651,2,0.203,0.224,1.589
E01001688,2829,26.616,3,0.177,0.831,0.087
E01001690,2120,29.707,3,0.195,-0.014,-0.009
E01001692,1517,30.003,3,0.222,0.038,-0.117
E01001693,1785,33.676,2,0.258,0.037,0.511
E01001694,1920,23.21,4,0.17,0.025,0.49
E01001695,1519,36.783,2,0.239,0.667,0.821
E01001696,1302,36.797,2,0.259,0.592,1.149
E01001697,2459,33.943,2,0.224,0.362,0.652
E01001698,1931,29.548,3,0.236,-0.067,0.486
E01001699,1604,24.705,4,0.132,0.434,0.105
E01001700,2098,31.145,3,0.203,0.331,0.544
E01001701,1729,29.43,3,0.167,0.716,0.534
E01001702,1681,37.853,2,0.29,0.328,0.272
E01001703,2003,31.821,3,0.243,0.457,0.27
E01001704,1645,23.517,4,0.139,0.049,0.49
E01001705,2144,32.594,3,0.206,0.404,0.456
E01001706,1374,39.488,2,0.269,0.58,0.715
E01001708,1653,20.619,5,0.127,-0.009,-0.073
E01001709,1210,37.34,2,0.268,0.664,0.576
E01001710,1819,33.511,2,0.259,0.391,0.003
E01001711,1414,27.849,3,0.18,0.295,0.433
E01001712,2221,31.332,3,0.206,0.701,0.555
E01001713,1695,37.076,2,0.278,0.264,0.663
E01001714,1580,44.248,1,0.3,0.356,0.816
E01001715,1401,28.349,3,0.148,0.139,0.869
E01001716,1529,37.112,2,0.216,0.874,0.678
E01001717,1266,27.475,3,0.162,0.284,0.188
E01001718,1870,20.149,5,0.072,-0.293,1.098
E01001719,1160,35.72,2,0.233,1.073,0.199
E01001720,1999,19.773,5,0.094,0.162,0.545
E01001722,2358,31.702,3,0.213,0.137,0.514
E01001723,2099,22.842,4,0.15,0.206,-0.124
E01001724,2431,25.324,4,0.144,0.238,0.136
E01001725,1948,26.575,3,0.172,-0.174,-0.108
E01001726,1441,32.84,3,0.252,0.444,-0.226
E01001727,1973,22.608,4,0.124,0.163,-0.267
E01001728,2107,30.577,3,0.215,-0.055,-0.135
E01001729,2135,42.01,2,0.292,1.05,0.011
E01001730,2266,45.752,1,0.307,0.408,0.858
E01001731,2931,31.157,3,0.16,0.102,1.149
E01001732,1990,39.137,2,0.288,0.417,0.605
E01001733,1868,32.404,3,0.147,0.488,1.413
E01001734,1800,36.255,2,0.197,0.483,1.569
E01001735,1706,35.185,2,0.21,0.572,1.427
E01001736,1631,21.541,5,0.134,0.143,0.397
E01001737,1813,24.573,4,0.15,0.336,0.253
E01001738,1823,22.939,4,0.137,0.32,0.329
E01001739,2115,25.798,4,0.141,0.482,0.763
E01001740,1523,43.901,1,0.31,0.83,0.874
E01001741,1609,17.772,5,0.1,-0.296,0.601
E01001742,1985,28.995,3,0.187,0.745,0.494
E01001744,2051,32.017,3,0.2,0.467,0.925
E01001745,2310,36.826,2,0.27,0.603,0.346
E01001746,1668,35.266,2,0.27,0.489,-0.782
E01001747,2360,31.063,3,0.16,1.035,1.209
E01001748,2654,32.844,3,0.177,0.256,1.341
E01001749,1595,31.098,3,0.155,0.651,0.808
E01001750,2173,36.039,2,0.228,0.362,1.31
E01001751,1742,18.737,5,0.059,-0.302,0.926
E01001752,2695,26.838,3,0.121,0.21,0.097
E01001753,1708,35.92,2,0.239,0.218,0.615
E01001754,3449,31.459,3,0.177,-0.291,0.649
E01001755,1795,40.073,2,0.247,1.05,0.612
E01001756,2257,23.435,4,0.078,-0.164,1.108
E01001757,1824,31.873,3,0.249,0.225,0.034
E01001758,2274,38.882,2,0.281,0.513,0.869
E01001759,1893,28.934,3,0.173,0.41,0.602
E01001760,1796,39.233,2,0.224,0.706,1.722
E01001761,1725,47.161,1,0.321,1.147,0.834
E01001762,1943,27.09,3,0.138,0.391,0.34
E01001763,2241,22.12,4,0.13,-0.273,0.316
E01001764,2039,28.73,3,0.192,0.104,0.466
E01001765,1886,43.409,2,0.289,0.932,0.393
E01001767,1697,33.95,2,0.205,0.395,1.131
E01001768,1954,24.277,4,0.142,-0.032,0.398
E01001769,1635,26.759,3,0.163,0.19,0.973
E01001770,1965,34.261,2,0.222,0.582,0.733
E01001772,1305,41.78,2,0.28,0.592,1.0
E01001773,2294,38.205,2,0.233,0.516,1.191
E01001774,2222,28.204,3,0.182,0.107,0.74
E01001775,1933,39.266,2,0.252,0.788,0.921
E01001776,1404,45.938,1,0.295,0.65,0.981
E01001777,2247,34.27,2,0.176,0.698,1.064
E01001779,2722,30.639,3,0.188,0.178,0.298
E01001780,1861,37.728,2,0.225,0.286,1.386
E01001781,1700,44.66,1,0.274,0.951,0.987
E01001782,2536,21.076,5,0.128,-0.497,-0.032
E01001783,1930,38.594,2,0.256,0.638,0.636
E01001784,2411,26.639,3,0.182,0.139,0.079
E01001785,1617,30.74,3,0.178,0.309,1.068
E01001786,2164,37.939,2,0.291,0.194,0.479
E01001787,1640,43.42,2,0.31,0.874,0.448
E01001788,1645,42.475,2,0.297,0.927,0.23
E01001789,1783,27.673,3,0.172,0.416,0.466
E01001790,1290,51.961,1,0.38,0.99,0.013
E01001791,1490,32.227,3,0.204,0.669,0.505
E01001792,2013,32.729,3,0.189,0.434,1.236
E01001793,1736,24.873,4,0.151,-0.161,0.435
E01001794,2087,26.492,4,0.135,-0.001,0.767
E01001795,1446,31.452,3,0.15,0.363,1.296
E01001796,1878,28.427,3,0.134,0.187,0.372
E01001798,1795,46.437,1,0.312,0.773,1.203
E01001799,1659,26.539,4,0.137,-0.141,-0.144
E01001800,1764,39.15,2,0.252,0.609,0.034
E01001801,1740,31.423,3,0.204,0.468,-0.163
E01001802,1404,33.522,2,0.233,0.276,0.116
E01001803,2033,15.695,6,0.075,-0.026,-0.353
E01001804,1625,26.466,4,0.146,0.032,-0.901
E01001805,1306,27.222,3,0.137,0.016,1.151
E01001806,1578,29.992,3,0.187,0.477,0.913
E01001807,2025,29.104,3,0.187,-0.075,0.172
E01001808,2084,30.857,3,0.133,-0.107,0.217
E01001809,2234,26.652,3,0.137,-0.275,0.039
E01001811,1373,48.58,1,0.34,0.606,0.715
E01001812,1941,29.842,3,0.179,-0.025,0.605
E01001813,1534,48.476,1,0.3,0.361,1.229
E01001814,1640,32.729,3,0.177,0.566,0.505
E01001815,1846,36.758,2,0.26,0.522,0.427
E01001816,1676,25.206,4,0.167,0.236,0.709
E01001819,1758,27.879,3,0.2,0.391,0.507
E01001820,1448,41.027,2,0.269,0.449,0.597
E01001821,1452,43.173,2,0.259,0.965,1.125
E01001822,1783,45.667,1,0.296,0.72,0.799
E01001823,1971,28.315,3,0.168,0.152,-0.571
E01001824,1785,33.87,2,0.195,0.039,0.439
E01001825,1650,26.92,3,0.123,-0.465,-0.46
E01001826,1767,34.25,2,0.213,0.449,-0.413
E01001827,2166,36.874,2,0.243,0.372,0.17
E01001828,2241,34.2,2,0.248,0.333,0.25
E01001829,1850,16.477,6,0.078,-0.251,0.756
E01001830,2003,32.425,3,0.2,0.528,0.644
E01001831,1714,29.178,3,0.161,0.414,1.017
E01001832,1753,28.103,3,0.141,0.282,1.02
E01001833,2523,31.832,3,0.203,0.479,0.259
E01001834,1996,30.766,3,0.195,0.483,0.584
E01001835,1293,21.313,5,0.1,0.254,1.1
E01001836,2096,26.182,4,0.16,0.19,0.453
E01001837,1568,17.083,6,0.086,0.026,0.654
E01001838,1739,46.392,1,0.341,0.595,0.616
E01001839,2685,38.772,2,0.195,1.216,0.905
E01001840,1784,40.008,2,0.262,0.964,0.91
E01001841,1556,31.696,3,0.197,0.469,0.53
E01001842,1597,39.524,2,0.284,0.533,0.952
E01001843,1347,32.022,3,0.182,0.675,0.738
E01001844,2186,26.949,3,0.14,0.096,1.029
E01001845,1553,50.985,1,0.33,1.017,0.579
E01001846,1293,46.735,1,0.267,1.126,1.661
E01001847,1420,56.261,1,0.317,1.57,1.297
E01001848,1811,39.884,2,0.24,0.932,1.21
E01001849,2591,34.104,2,0.208,0.547,0.777
E01001850,1814,42.961,2,0.299,0.68,0.661
E01001851,1651,13.267,7,0.071,-0.584,0.473
E01001852,1784,16.762,6,0.101,-0.337,0.331
E01001853,1496,20.791,5,0.1,-0.079,0.884
E01001854,1713,19.308,5,0.129,-0.235,0.24
E01001855,1661,18.446,5,0.105,-0.182,0.271
E01001856,1621,31.549,3,0.204,0.464,0.606
E01001857,1479,39.967,2,0.268,0.326,1.365
E01001858,1700,30.675,3,0.189,0.582,0.764
E01001859,2602,20.236,5,0.186,-0.22,-0.738
E01001860,1831,31.87,3,0.209,0.153,0.709
E01001861,1480,30.192,3,0.222,0.294,0.769
E01001862,1790,32.679,3,0.224,0.537,0.493
E01001863,1525,18.964,5,0.115,-0.203,0.676
E01001864,1531,28.795,3,0.169,0.768,0.518
E01001865,1747,13.639,7,0.094,-0.456,0.07
E01001866,1553,14.104,7,0.078,-1.076,0.707
E01001867,1352,13.678,7,0.12,-0.216,-0.74
E01001868,1283,35.865,2,0.221,0.159,0.84
